,start,end,artist,stage
0,2022-04-08 14:45:00,2022-04-08 15:30:00,RONDÉ,Apollo
1,2022-04-08 16:30:00,2022-04-08 17:30:00,Duncan Laurence,Apollo
2,2022-04-08 18:30:00,2022-04-08 19:30:00,Son Mieux,Apollo
3,2022-04-08 20:30:00,2022-04-08 21:30:00,Joost,Apollo
4,2022-04-08 22:30:00,2022-04-08 23:30:00,George Ezra,Apollo
5,2022-04-08 00:30:00,2022-04-08 01:30:00,Goldband,Apollo
0,2022-04-08 14:00:00,2022-04-08 14:45:00,WIES,Phoenix
1,2022-04-08 15:30:00,2022-04-08 16:30:00,S10,Phoenix
2,2022-04-08 17:30:00,2022-04-08 18:30:00,Warhaus,Phoenix
3,2022-04-08 19:30:00,2022-04-08 20:30:00,dEUS,Phoenix
4,2022-04-08 21:30:00,2022-04-08 22:30:00,MEUTE,Phoenix
5,2022-04-08 23:00:00,2022-04-09 00:30:00,Nina Kraviz,Phoenix
6,2022-04-08 00:30:00,2022-04-08 02:00:00,Kobosil,Phoenix
0,2022-04-08 14:45:00,2022-04-08 15:30:00,Santrofi,Roxy
1,2022-04-08 17:30:00,2022-04-08 18:15:00,Jiri11,Roxy
2,2022-04-08 19:00:00,2022-04-08 19:45:00,Coely,Roxy
3,2022-04-08 20:15:00,2022-04-08 21:00:00,Sticks,Roxy
4,2022-04-08 21:30:00,2022-04-08 22:15:00,Mula B,Roxy
5,2022-04-08 23:00:00,2022-04-08 23:45:00,Bru-C,Roxy
6,2022-04-08 00:00:00,2022-04-08 01:00:00,Gladde Paling,Roxy
7,2022-04-08 01:00:00,2022-04-08 02:00:00,Natte Visstick,Roxy
0,2022-04-08 14:00:00,2022-04-08 15:30:00,Disco Danny,The Silver Warehouse
1,2022-04-08 15:30:00,2022-04-08 16:30:00,HVK,The Silver Warehouse
2,2022-04-08 16:30:00,2022-04-08 17:30:00,ChildsPlay,The Silver Warehouse
3,2022-04-08 17:30:00,2022-04-08 18:00:00,FMG,The Silver Warehouse
4,2022-04-08 18:00:00,2022-04-08 19:00:00,Jody Bernal,The Silver Warehouse
5,2022-04-08 19:00:00,2022-04-08 20:00:00,Freddy Moreira,The Silver Warehouse
6,2022-04-08 20:00:00,2022-04-08 21:00:00,HATO,The Silver Warehouse
7,2022-04-08 21:00:00,2022-04-08 22:00:00,Dansado & De Feestmeester,The Silver Warehouse
8,2022-04-08 22:00:00,2022-04-08 23:00:00,Tony Junior,The Silver Warehouse
9,2022-04-08 23:00:00,2022-04-09 00:00:00,Galactixx,The Silver Warehouse
10,2022-04-08 00:00:00,2022-04-08 01:00:00,Outsiders,The Silver Warehouse
11,2022-04-08 01:00:00,2022-04-08 02:00:00,Warface,The Silver Warehouse
0,2022-04-08 14:30:00,2022-04-08 15:30:00,Taipei Houston,The Jack
1,2022-04-08 16:15:00,2022-04-08 17:15:00,Smash Into Pieces,The Jack
2,2022-04-08 18:00:00,2022-04-08 19:00:00,Cassyette,The Jack
3,2022-04-08 19:45:00,2022-04-08 20:45:00,The Last Internationale,The Jack
4,2022-04-08 21:30:00,2022-04-08 22:30:00,Fleddy Melculy,The Jack
5,2022-04-08 23:15:00,2022-04-09 00:15:00,Nova Twins,The Jack
6,2022-04-08 01:00:00,2022-04-08 02:00:00,Hang Youth,The Jack
0,2022-04-08 15:30:00,2022-04-08 16:30:00,Fleur,Luxor
1,2022-04-08 17:30:00,2022-04-08 18:30:00,Elephant,Luxor
2,2022-04-08 19:30:00,2022-04-08 20:30:00,Egyptian Blue,Luxor
3,2022-04-08 21:30:00,2022-04-08 22:30:00,Ditz,Luxor
4,2022-04-08 23:30:00,2022-04-09 00:30:00,Job & Fred Band,Luxor
0,2022-04-08 14:30:00,2022-04-08 15:30:00,De Cabaret Club,Theatre
1,2022-04-08 16:00:00,2022-04-08 16:45:00,Badum Oneliners,Theatre
2,2022-04-08 17:15:00,2022-04-08 18:00:00,Nabil,Theatre
3,2022-04-08 18:30:00,2022-04-08 19:15:00,The Ruggeds,Theatre
4,2022-04-08 20:00:00,2022-04-08 21:15:00,"Earth, Wind & Fire",Theatre
5,2022-04-08 22:15:00,2022-04-08 23:45:00,Edwin Evers Band,Theatre
6,2022-04-08 00:30:00,2022-04-08 02:00:00,Fragment,Theatre
0,2022-04-08 14:30:00,2022-04-08 16:00:00,Bingo,Loco Royale
1,2022-04-08 16:00:00,2022-04-08 16:45:00,De Flamingoos,Loco Royale
2,2022-04-08 16:45:00,2022-04-08 18:00:00,KlooiKlup,Loco Royale
3,2022-04-08 18:00:00,2022-04-08 19:00:00,Hoezo lustte gij ginne koffieconcert,Loco Royale
4,2022-04-08 19:00:00,2022-04-08 19:30:00,Frans Bauer,Loco Royale
5,2022-04-08 19:30:00,2022-04-08 20:00:00,Flipperdisco,Loco Royale
6,2022-04-08 20:00:00,2022-04-08 21:00:00,Wir Sind Spitze,Loco Royale
7,2022-04-08 21:00:00,2022-04-08 21:30:00,Flipperdisco,Loco Royale
8,2022-04-08 21:30:00,2022-04-08 22:30:00,Show,Loco Royale
9,2022-04-08 22:30:00,2022-04-08 23:30:00,The Dean XL,Loco Royale
10,2022-04-08 23:30:00,2022-04-09 00:00:00,Mr. Polska,Loco Royale
