,start,end,artist,stage
0,2022-04-09 13:30:00,2022-04-09 14:30:00,Jaap Reesema,Apollo
1,2022-04-09 15:30:00,2022-04-09 16:30:00,Calum Scott,Apollo
2,2022-04-09 17:30:00,2022-04-09 18:30:00,BOUKE,Apollo
3,2022-04-09 19:30:00,2022-04-09 20:30:00,Danny Vera,Apollo
4,2022-04-09 21:30:00,2022-04-09 22:30:00,Davina Michelle,Apollo
5,2022-04-09 23:30:00,2022-04-10 01:00:00,Armin van Buuren,Apollo
0,2022-04-09 13:00:00,2022-04-09 13:45:00,Boef,Phoenix
1,2022-04-09 14:30:00,2022-04-09 15:30:00,Dub inc,Phoenix
2,2022-04-09 16:30:00,2022-04-09 17:30:00,Yade Lauren,Phoenix
3,2022-04-09 18:30:00,2022-04-09 19:30:00,Enter Shikari,Phoenix
4,2022-04-09 20:30:00,2022-04-09 21:30:00,De Staat,Phoenix
5,2022-04-09 22:00:00,2022-04-09 23:30:00,DIØN,Phoenix
6,2022-04-09 23:30:00,2022-04-10 01:00:00,Reinier Zonneveld,Phoenix
0,2022-04-09 13:00:00,2022-04-09 13:45:00,Babs,Roxy
1,2022-04-09 14:15:00,2022-04-09 14:45:00,Claude,Roxy
2,2022-04-09 15:15:00,2022-04-09 16:00:00,Moon Hooch,Roxy
3,2022-04-09 16:30:00,2022-04-09 17:15:00,Kleine Crack,Roxy
4,2022-04-09 17:45:00,2022-04-09 18:30:00,Ares,Roxy
5,2022-04-09 19:30:00,2022-04-09 20:30:00,Jungle By Night,Roxy
6,2022-04-09 21:00:00,2022-04-09 21:45:00,Gotu Jim,Roxy
7,2022-04-09 22:15:00,2022-04-09 23:15:00,Jack Parow,Roxy
8,2022-04-09 00:00:00,2022-04-09 01:00:00,Prins S. en De Geit,Roxy
0,2022-04-09 13:00:00,2022-04-09 14:00:00,Martin B,The Silver Warehouse
1,2022-04-09 14:00:00,2022-04-09 15:00:00,Kruzo,The Silver Warehouse
2,2022-04-09 15:00:00,2022-04-09 16:00:00,Michael Amani,The Silver Warehouse
3,2022-04-09 16:00:00,2022-04-09 16:30:00,Bankzitters,The Silver Warehouse
4,2022-04-09 16:30:00,2022-04-09 17:30:00,Johnny 500,The Silver Warehouse
5,2022-04-09 17:30:00,2022-04-09 18:30:00,Trobi,The Silver Warehouse
6,2022-04-09 18:30:00,2022-04-09 19:00:00,Turfy Gang,The Silver Warehouse
7,2022-04-09 19:00:00,2022-04-09 20:00:00,The Partysquad,The Silver Warehouse
8,2022-04-09 20:00:00,2022-04-09 21:00:00,Yung Felix,The Silver Warehouse
9,2022-04-09 21:00:00,2022-04-09 22:00:00,Omdat Het Kan,The Silver Warehouse
10,2022-04-09 22:00:00,2022-04-09 23:00:00,Adrenalize,The Silver Warehouse
11,2022-04-09 23:00:00,2022-04-10 00:00:00,Rebelion,The Silver Warehouse
12,2022-04-09 00:00:00,2022-04-09 01:00:00,Paul Elstak,The Silver Warehouse
0,2022-04-09 13:30:00,2022-04-09 14:30:00,Blackbird,The Jack
1,2022-04-09 15:15:00,2022-04-09 16:15:00,DeWolff,The Jack
2,2022-04-09 17:00:00,2022-04-09 18:00:00,The Lathums,The Jack
3,2022-04-09 20:30:00,2022-04-09 21:30:00,Rare Americans,The Jack
4,2022-04-09 22:15:00,2022-04-09 23:15:00,Brutus,The Jack
5,2022-04-09 00:00:00,2022-04-09 01:00:00,Rudeboy plays Urban Dance Squad,The Jack
0,2022-04-09 14:30:00,2022-04-09 15:30:00,Fiep,Luxor
1,2022-04-09 16:30:00,2022-04-09 17:30:00,Banji,Luxor
2,2022-04-09 18:30:00,2022-04-09 19:30:00,The Mysterines,Luxor
3,2022-04-09 20:30:00,2022-04-09 21:30:00,The Lottery Winners,Luxor
4,2022-04-09 22:30:00,2022-04-09 23:30:00,Nusantara Beat,Luxor
0,2022-04-09 13:30:00,2022-04-09 14:30:00,De Cabaret Club,Area 7
1,2022-04-09 15:00:00,2022-04-09 16:00:00,Rob Scheepers,Area 7
